sentence,ic,ner
chất vải gì đó shop?,handoff,O O O O O
cho mình hỏi cửa hàng bên mình đã mở cửa trở lại chưa ạ,handoff,O O O O O O O O O O O O O O
cho chị hỏi shop có dái dài cho bé ko,handoff,O O O O O O O O O O
shop co ban online k ạ,handoff,O O O O O O
mấy mẫu này còn k shop,handoff,O B-inform#mention I-inform#mention O O O
quần chất liệu vải gì thế ah,handoff,B-inform#object_type O O O O O O
shop có bộ này cho ng lớn k,handoff,O O B-inform#object_type B-inform#mention O O O O
mặc mấy cái nhà e nó cứ bó từ trên xuoings dưới như con gái í,handoff,O O O O O O O O O O O O O O O O
chất liệu gì vậy sh,handoff,O O O O O
"nguyễn thị lan\ncầu k67- cao xanh - hà khánh . tp hạ long, quảng ninh\nđt 0989043683",handoff,O O O O O O O O O O O O O B-inform#location I-inform#location O
chào shop. mình muốn hỏi mua trên web có dc sale 50% ko,handoff,O O O O O O O O O O O O O
còn không ah shop màu như này nhé,handoff,O O O O O O O O
"bên mình có [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} trắng dài bé gái 9 tuổi ko",handoff,O O O O O O O B-inform#color O B-inform#gender I-inform#gender B-inform#age I-inform#age O
"htrc mh mua [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} chọn sz 6 bị rộg í",handoff,O O O O O O O O O O O O O
đêns lúc mình mua thanh toán thì toàn báo lỗi,handoff,O O O O O O O O O O
mình đã đặt hàng trên web rồi mà ko thấy liên ạ!,handoff,O O O O O O O O O O O O
địa chỉ shop ở đâu nhỉ,handoff,O O O O O O
tuong giam 50 % a,handoff,O O O O O
"bên m có [áo khoắc]{""entity"": ""inform#object_type"", ""value"": ""ao_khoac""} gió cho bé 2 tuổi k a",handoff,O O O O O O O O O O O B-inform#age I-inform#age O O
phom zice the nao ạ,handoff,O O O O O
"đỗ như quỳnh, toà nhà vnpt thái nguyên số 10 đường cách mạng tháng 8, thành phố thái nguyên\nsố đt: 0849791985",handoff,O O O O O O B-inform#location I-inform#location O O O O O O O O O B-inform#location I-inform#location O O
mình cũng ở tây nam linh đàm mà chưa định hình dc chỗ,handoff,O O O B-inform#location I-inform#location B-inform#location I-inform#location O O O O O O
"[bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} cánh dơi trên shopee ấy",handoff,O O O O O O O O O
chị mua online có đc k,handoff,O O O O O O
"bên em in ấn mác quần áo, túi, nhãn dệt,....",handoff,O O O O O B-inform#object_type I-inform#object_type O O O
mua 1 tang 1 la sao e,handoff,O O O O O O O
đỡ mất công đổi,handoff,O O O O
cho mình xin địa chỉ cửa hàng ở khu giải phóng ngọc hồi,handoff,O O O O O O O O B-inform#location I-inform#location I-inform#location B-inform#location I-inform#location
có bán rời ko c.bé nhà e cao hơn 1m2 nặng 24kg,handoff,O O O O O O O O O B-inform#height O B-inform#weight
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} có [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} bên trong ko e",handoff,O O O O O O O O O O O O O
"trên ảnh chỉ chụp mỗi [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} sao không chụp cả [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} mẫu mà chụp mỗi [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} vậy shop",handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O
"mà bị chật mất 1 cái [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""}",handoff,O O O O O O O O O O
cảm ơn em. giờ chị ko có nhu cầu mua thêm ở bên em nữa.,handoff,O O O O O O O O O O O O O O O
k biêys có đổi đc k,handoff,O O O O O O
c ở thanh hóa,handoff,O O B-inform#location I-inform#location
"đc ship hàng nhé: số 808b, toà ct1b, chung cư quân đội thạch bàn , long biên , hn",handoff,O O O O O O O O O O O O B-inform#location I-inform#location O B-inform#location I-inform#location O B-inform#location
"bạn ơi, bên mình có đồ hóa trang haloween cho bé lớp 6 và 11 tuổi không?",handoff,O O O O O O O O O O O O B-inform#age O B-inform#age I-inform#age O
ủa đăng vô mà cái nào cũng bán hết là sao shop,handoff,O O O O O O O O O O O O
"[chân vấy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} với áo thun",handoff,O O O O O O B-inform#object_type I-inform#object_type
và ctr đổi điểm ntn,handoff,O O O O O
có ai hỗ trợ ko vậy,handoff,O O O O O O
c gửi hình đó,handoff,O O O O
"bên m có [quần tất]{""entity"": ""inform#object_type"", ""value"": ""quan""} trắng cho bé k ạ",handoff,O O O O O O O O B-inform#color O O O O
có mẫu nào 18 tháng ko bạn,handoff,O O O B-inform#age I-inform#age O O
c thâý trên web có màu vangf đỏ,handoff,O O O O O B-inform#color I-inform#color I-inform#color
"tttm the gardan, đường mễ trì, hà nội đã có khẩu trang chưa? chị đăng ký nhận khẩu trang ở đó.",handoff,O O O O O O B-inform#location I-inform#location O O B-inform#object_type I-inform#object_type O O O O O O O O O
c hồng 0983555651 - 34 cửa nam h hc,handoff,O O O O O B-inform#location I-inform#location O O
bên shop có chương trình mua khẩu trang trẻ em online ko ạ,handoff,O O O O O O O O O O O O O
"và có sản phẩm [quần chip]{""entity"": ""inform#object_type"", ""value"": ""quan""} cho bé gái khong",handoff,O O O O O O O O O O B-inform#gender I-inform#gender O
tớ ở thanh xuân gần hà đông ý,handoff,O O B-inform#location I-inform#location O B-inform#location I-inform#location O
thành phố bắc ninh ko bán nữa ạ?,handoff,O O B-inform#location I-inform#location O O O O
"em ơi c lấy [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này",handoff,O O O O O O O O B-inform#mention
c đã chat liên hệ trên shopppe nhưng ko nhận được phản hồi bao h giao bổ sung cho c,handoff,O O O O O O O O O O O O O O O O O O O O
cho mình xin địa chỉ cửa hàng ở ₫ường láng,handoff,O O O O O O O O B-inform#location I-inform#location
29/2 mới đổi quà đc chứ ko phải từ 15/2 là đổi đc lun hả b?,handoff,O O O O O O O O O O O O O O O O
mình ở xa ko tới shop đc,handoff,O O O O O O O
"shop có mẫu [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} nào cho bạn 11t nặng 36kg ko ạ",handoff,O O O O O O O O O O B-inform#age O B-inform#weight O O
nam còn mẫu nào ko,handoff,B-inform#gender O O O O
868668915,handoff,O
"có mẫu [quần kaki]{""entity"": ""inform#object_type"", ""value"": ""quan""} ko gửi cho mình xem nhé, cho bé 12 tuổi 50kg",handoff,O O O O O O O O O O O O O O O B-inform#age I-inform#age O
em gửi nhầm,handoff,O O O
"chương trình này có áp dụng với [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} ko shop? ví dụ như mua 1 [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} tặng 1 [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} ý.",handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
mình muốn đặt thì đặt trên web dc ko ạ,handoff,O O O O O O O O O O
"mình đặt [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này trên soppe k đc",handoff,O O O O O O B-inform#mention O O O O
c hag e o dau,handoff,O O O O O
bên shop có áo phông/bộ đồ cotton cho bé trai 16kg có hình siêu nhân/ ô tô k ạ,handoff,O O O B-inform#object_type I-inform#object_type O B-inform#material O O O B-inform#weight O O O O O O O O
"có [vest]{""entity"": ""inform#object_type"", ""value"": ""ao_vest""} chưa b ơi",handoff,O O O O O O O O
"luc nào mới ra bộ suu tập [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} chính thức vậy a",handoff,O O O O O O O O O O O O O O O O
nguyễn thanh thuý sn 21- đường lửa việt- tt hạ hoà- hạ hoà- phú thọ\n0987363566,handoff,O O O O O O O O O O O O O B-inform#location I-inform#location
bộ đôi này bé đến mấy tuổi hả shop,handoff,O O B-inform#mention O O O O O O
mặc hơi ngắn mình muốn đổi sz lớn hơn thì qua cửa hàg đc ko,handoff,O O O O O O O O O O O O O O O
cho mình xin ảnh một số mẫu hè cho bé trái 4y,handoff,O O O O O O O B-inform#season O B-inform#gender I-inform#gender B-inform#object_type
khẩu trang người lớn và trẻ em ngày mai có hàng ở trần đăng ninh chưa?,handoff,B-inform#object_type I-inform#object_type O O O O O O O O O O O O O O
"m tuog [aoa phao]{""entity"": ""inform#object_type"", ""value"": ""ao_phao""}",handoff,O O O O O O O
mua online đc ko vậy s,handoff,O O O O O O
xin link bé trai và bé gái năngn 13kg 2.5 tuổi,handoff,O O B-inform#gender I-inform#gender O B-inform#gender I-inform#gender O B-inform#weight B-inform#age I-inform#age
bạn cho mình hỏi bên nguyễn văn cừ cửa hàng mình còn quần bò ngố cho bé trai 6 tuổi không vậy?,handoff,O O O O O B-inform#location I-inform#location I-inform#location O O O O B-inform#object_type O O O O O B-inform#age I-inform#age O O
m hỏi chút shop dùng túi giấy hay túi nilong để đựng hàng vậy ?,handoff,O O O O O O O O O O O O O O O
số này có được sale 50% k vay,handoff,O O O O O O O O
sz 1-2 tuổi bao cân mặc vừa ạ,handoff,O B-inform#age I-inform#age O O O O O
cho mình địa chỉ cửa hàng ở thái hà,handoff,O O O O O O O B-inform#location I-inform#location
hay đổi ở cửa hàng khác cũng đc?,handoff,O O O O O O O O
cái 3 tuổi có màu đậm ko nhé,handoff,O B-inform#age I-inform#age O B-inform#color I-inform#color O O
tớ đổi dc ko,handoff,O O O O
dt 0986229286,handoff,O O
shop cho mh hỏi có mẫu quần bò bé trai trên 30kg và áo khoác gió trên 30kg ko ạh,handoff,O O O O O O B-inform#object_type I-inform#object_type O O O B-inform#weight O B-inform#object_type I-inform#object_type O O B-inform#weight O O
bạn check hộ mình nhé,handoff,O O O O O
úi đắt thế bạn,handoff,O O O O
showrom hải dương thì đóng cửa!,handoff,O B-inform#location I-inform#location O O O
cho mình xin địa chỉ cửa hàng nhé,handoff,O O O O O O O O
ở vĩnh yên còn hoạt động k b,handoff,O B-inform#location I-inform#location O O O O O
em ơi cửa hàng mình mở cửa chưa,handoff,O O O O O O O O
shop ơi đổi hộ mình nha shop,handoff,O O O O O O O
vậy mình sẽ qua điểm đăng kí để nhận quà tặng đúng k bạn,handoff,O O O O O O O O O O O O O O
"cho m hỏi [chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} này",handoff,O O O O O O O O B-inform#mention
bên bạn có còn sản phẩm này không?,handoff,O O O O B-inform#mention I-inform#mention I-inform#mention O
đang có ctrinh j k e?,handoff,O O O O O O
cả sáng nay mình đợi coi có mang qua k,handoff,O O O O O O O O O O
mẫu e dc chọn la mẫu nào vậy,handoff,O O O O O O O O
cho mình xin địa chỉ cửa hàng ơ khu vực ba đình,handoff,O O O O O O O O O O B-inform#location I-inform#location
địa chỉ cửa hàng của shop ở đâu,handoff,O O O O O O O O
nên c muon hoi xem con ko c qua đo lấy tiếp cung dk,handoff,O O O O O O O O O O O O O O
có trên shopee chưa ah.?,handoff,O O O O O
tối qua m đặt mấy sp trên live,handoff,O O O O O O O O
mình hỏi để biết đổi trog vòng bao lâu thôi,handoff,O O O O O O O O O O
"va [váy dạ hội]{""entity"": ""inform#object_type"", ""value"": ""vay_da_tiec""} hôm trc e hỏi còn sale ko ạ",handoff,O O O O O O O O O O O O O O O
shop cho hỏi cửa hàng ở vĩnh yên ở địa chỉ nào nhỉ,handoff,O O O O O O B-inform#location I-inform#location O O O O O
c ơi e phải ck trc ạ,handoff,O O O O O O O
"hôm nay mình xem [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này nhưng chưa có áo để kết hợp nên chưa mua.",handoff,O O O O O O O O B-inform#mention O O O O O O O O O O
nhưng lại thấy thông báo shop tạm nghỉ bán là sao anh,handoff,O O O O O O O O O O O O
vào web k xem dc,handoff,O O O O O
mình thấy quảng cáo có khuyến mại,handoff,O O O O O O O
dạ bên mìn có mẫu áo khoác gió nàocho bé mới k ạ,handoff,O O O O O O O O O O O O O
hôm nay qua thi các bạn bảo gết chương trình là sao,handoff,O O O O O O O O O O O O
sdt 0987757136,handoff,O O
"[áo khoác]{""entity"": ""inform#object_type"", ""value"": ""ao_khoac""} đó có dày ko bạn",handoff,O O O O O B-inform#mention O O O O
cho m số tk m ck,handoff,O O O O O O
"e check giúp c xem những cơ sở nào còn [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này sz130 nhé",handoff,O O O O O O O O O O O O O O B-inform#mention O O
chiều mình qua cửa hàng xem.,handoff,O O O O O O
m muốn hỏi bộ đồng phục học sinh,handoff,O O O B-inform#object_type I-inform#object_type I-inform#object_type O O
nên h e định đổi kiểu,handoff,O O O O O O
"còn [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này không ạ",handoff,O O O O O B-inform#mention O O
ngoài hàng ở mỗ lao,handoff,O O O O O
k có chương trình khuyến mại ạ?,handoff,O O O O O O O
chị nhấn vào k đc nhỉ,handoff,O O O O O O
cửa hàng nhà mình mở chưa em?,handoff,O O O O O O O
"giao diện web bên bạn xem mẫu k tiện mất thời gian quá. nên chia nhỏ mục [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} của bé ra xem cho dễ",handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"shop còn [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này ko",handoff,O O O O O O B-inform#mention O
m gọi theo số trên hoa đơn ko ll được,handoff,O O O O O O O O O O
"cho e hỏi, e muốn chọn bên shoppee , size bé gái 21kg và 34kg chọn size gì vậy shop?",handoff,O O O O O O O O O O B-inform#gender I-inform#gender B-inform#weight O B-inform#weight O O O O O
mà còn chương trình mua 1 tặng 1 k e?,handoff,O O O O O O O O O O
e đổi đc k ạ,handoff,O O O O O
982353141,handoff,O
973980492,handoff,O
mình ở nhà 62 ngách 61/7 lạc trung,handoff,O O O O O O B-inform#location I-inform#location
mà bị cộc dã man,handoff,O O O O O
mà tính ra ship chậm hơn cả bt,handoff,O O O O O O O O
"hàng [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} có đc giảm giad k",handoff,O O O O O O O O O O O
"mình cho địa chỉ nhe. phạm thị thuy linh. xóm 16, thọ nghiệp, xuân trường. nam đinh",handoff,O O O O O O O O O O O O O O O B-inform#location I-inform#location
cửa hàng ở hà đông địa chỉ nào e ơi,handoff,O O O B-inform#location I-inform#location O O O O O
cho m xin địa chỉ cửa hàng ở khu vực mỹ đình,handoff,O O O O O O O O O O B-inform#location I-inform#location
ctrinh kmai ko update sp kmai lên web để mua online ah em,handoff,O O O O O O O O O O O O O
"shop check hộ mình, mình có dk nhận khẩu trang từ đợt trước nhưng ko thấy phản hồi. nay ra cửa hàng báo ko có",handoff,O O O O O O O O B-inform#object_type I-inform#object_type O O O O O O O O O O O O O O O
982200966,handoff,O
chị ko xem lại hết livestream đc,handoff,O O O O O O O
con chuột,handoff,O O
m muốn mua đồ mặc sinh nhật,handoff,O O O O O O O
"co mau [quần yếm]{""entity"": ""inform#object_type"", ""value"": ""quan""} nào cho bé 6,7 tuoi ko b??",handoff,O O O O O O O O O O B-inform#age I-inform#age O O
"có [quần lưng chun]{""entity"": ""inform#object_type"", ""value"": ""quan""} k ạ",handoff,O O O O O O O O O
em xem hàng có ở ch nào nhé,handoff,O O O O O O O O
ok c. giữ cho mình size 7t nhé. để mình chọn thêm đồ mình ck,handoff,O O O O O O B-inform#age O O O O O O O O
bên mình nghỉ chưa ah,handoff,O O O O O
bạn c khi mua thì bảo cứ ra hệ thống là đổi dc,handoff,O O O O O O O O O O O O O
m vừa ck bạn nhé,handoff,O O O O O
"shop cho mình hỏi mình có đơn hàng này, có 3 bộ mình muốn đổi size",handoff,O O O O O O O O O O O B-inform#object_type O O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} đó bị nhăn",handoff,O O O O B-inform#mention O O
em cho c xem mẫu bộ ngủ mà đang dc khuyến mại cho bé gái size 40kg nhé,handoff,O O O O O O O O O O O O O B-inform#gender I-inform#gender O B-inform#weight O
bạn ơi trước mình hay mua hàng ở phố huế bg ko biết cửa hàng dọn ra đâu rồi bạn nhỉ cho mình xin địa chỉ gần nhà mình ở quận hai bà trưng,handoff,O O O O O O O O B-inform#location I-inform#location O O O O O O O O O O O O O O O O O O O O O B-inform#location I-inform#location I-inform#location
còn khẩu trang cho bé trên 10 tuổi khôg bạn,handoff,O O O O O O B-inform#age I-inform#age O O
"[bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này co sale k ah",handoff,O O O O B-inform#mention O O O O
e ship thành có cổ rồi,handoff,O O O O O O
cửa hàng ko hỗ trợ kiểm tra độ dài giúp c đc à,handoff,O O O O O O O O O O O O O
nếu ko vừa mình nhờ shop đổi size khác ạ,handoff,O O O O O O O O O O
mình đặt mua khẩu trang ở đây có đc k,handoff,O O O O O O O O O O
a tân 0934445658,handoff,O O O
vải j vậy shop ?,handoff,O O O O O
tức là mình sẽ đổi qua shopee phải ko b,handoff,O O O O O O O O O O
"tính nguyên set hay [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} rời hả shop?",handoff,O O O O O O O O O O O O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này mình tìm mãi trong shopee với web ko thấy",handoff,O O O O B-inform#mention O O O O O O O O O
do mới nhận hang minh cho bé mặc thử thì luc cởi ra thi dính bui đen đen,handoff,O O O O O O O O O O O O O O O O B-inform#color I-inform#color
còn km ko b,handoff,O O O O
tại vì thấy mặc ks size 4 bé nhà mình bị ngắn,handoff,O O O O O O O O O O O O
"ship e địa chỉ lê vũ hương quỳnh\nsn 38, tổ 4a khu7a hồng hải hạ long,quảng ninh\n0395515888",handoff,O O O O O O O O O O O O O O O B-inform#location I-inform#location
cho c xem mẫu dc ko,handoff,O O O O O O
"nếu shop chốt lại có 1sp thì mình k lấy nữa , vì ít sp quá",handoff,O O O O O O O O O O O O O O O O
ok bạn . có đc mua 1 tặng 1 mẫu này k bạn,handoff,O O O O O O O O O B-inform#mention I-inform#mention O O
"c hỏi [quần jean]{""entity"": ""inform#object_type"", ""value"": ""quan""} e",handoff,O O O O O O O O
nếu ko vừa mình đổi đc ko ạ,handoff,O O O O O O O O
"shop có chân [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} đen áo dài tay trắng và [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} legging cho bé gái 6t ko ạ?",handoff,O O O O O O O B-inform#color B-inform#object_type O O B-inform#color O O O O O O O O O B-inform#age O O
mình thấy cửa hàng ở royal có bày mà lên web ko thấy có,handoff,O O O O O B-inform#location O O O O O O O O
mua 1 tặng 1 à c,handoff,O O O O O O
nguyễn trang,handoff,O O
shop có bán riêng bờm k a?,handoff,O O O O O O O
chiều c qua trần đăng ninh nhé,handoff,O O O B-inform#location I-inform#location I-inform#location O
mih ở đn,handoff,O O B-inform#location
b ơi cho mình hỏi bên mình có mẫu quần yếm nào ko ạ? chất bò hay thô kaki đều oki ạ,handoff,O O O O O O O O O B-inform#object_type I-inform#object_type O O O O B-inform#material O B-inform#material B-inform#material O O O
cty vạn thành hưng yên\nkm20-ql5-giai phạm-yên mỹ-hưng yên\n0983084485,handoff,O O O O O B-inform#location B-inform#location I-inform#location
giờ mình đặt hàng có kịp chuyển ko nhỉ,handoff,O O O O O O O O O
ship trong h hành chính,handoff,O O O O O
vì sợ đặt qua shopee ko đổi được hangd,handoff,O O O O O O O O O
"đồ đẹp quá, tiếc bé nhà mình 9t rồi",handoff,O O O O O O O O O
làm ở cầu giấy,handoff,O O B-inform#location I-inform#location
địa chỉ đà nẵng,handoff,O O B-inform#location I-inform#location
mai m mang qua ng trai đổi size dc k,handoff,O O O O O O O O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này có màu gì ạ",handoff,O O O O B-inform#mention O O O O
bon em có cơ sở nào gần ko,handoff,O O O O O O O O
904551570,handoff,O
bên bạn có hỗ trợ ktra đơn shopee k,handoff,O O O O O O O O O
bên em còn cửa hàng nào mở k? hay đóng cửa hết từ hnay rồi e?,handoff,O O O O O O O O O O O O O O O O
áo có ấm ko ạ,handoff,B-inform#object_type O O O O
ngõ 163 thái hà toà a,handoff,O O B-inform#location I-inform#location O O
trang web hiển thị giỏ hàng 5sp mà mở ra ko có sp nào để mua á shop,handoff,O O O O O O O O O O O O O O O O O O
mình vẫn còn giữ hoá đơn,handoff,O O O O O O
alo chốt đơn cho m để m ck,handoff,O O O O O O O O
"bên b có [áo phông]{""entity"": ""inform#object_type"", ""value"": ""ao_phong""} polo cho bé 1y k?",handoff,O O O O O O O O B-inform#object_type O O B-inform#age O
chi nhánh ở thái nguyên đóng cửa rồi hả shop?,handoff,O O O B-inform#location I-inform#location O O O O O
"cho mình hỏi [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} dài bé gái đã có ở cửa hàng chưa ạ",handoff,O O O O O O O O O O O O O O O O O
mình đi nhận tại phố huế,handoff,O O O O B-inform#location I-inform#location
sp này có được đổi k b?,handoff,B-inform#mention I-inform#mention O O O O O
bên c có tuyển nv ở cs lạc long quân ko ạ,handoff,O O O O O O O B-inform#location I-inform#location I-inform#location O O
bên mình có quần áo trẻ sơ sinh ko bạn,handoff,O O O B-inform#object_type I-inform#object_type O B-inform#age I-inform#age O O
bán rời a,handoff,O O O
chất liệu vải mát không,handoff,O O O O O
"bên bạn hiện nay có mẫu [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} công chúa bồng bềnh cho bé 3 tuổi ko",handoff,O O O O O O O O O O O O O O O O B-inform#age I-inform#age O
món nào đang hot nhỉ?,handoff,O O O O O
shop mình ở việt trì chuyển đi đâu rồi ạ,handoff,O O O B-inform#location I-inform#location O O O O O
"2 bộ cùng 1 size mà một [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} lại bị ngắn hơn",handoff,O O O O O O O O O O O O O O O
367371185,handoff,O
cho mình hỏi địa chỉ ở tây sơn- nguyễn lương bằng còn hoạt động k shop?,handoff,O O O O O O O O B-inform#location I-inform#location I-inform#location O O O O O
ck trc có đc miễn phí ship ko shop,handoff,O O O O O O O O O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này đang đv mua 1 tặng 1 à b",handoff,O O O O B-inform#mention O O O O O O O O
"mình mở đồ ra thì thấy [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} hình như bị nhầm size",handoff,O O O O O O O O O O O O O O O
bên mình còn chương trình sale ko vậy,handoff,O O O O O O O O
0943278666\nsn28 ngõ 88 ngách 61 giáp nhị thịnh liệt \nthank shop nhé,handoff,O O O O O O O O O O O O
bạn xem còn thì để mình ck chốt đơn,handoff,O O O O O O O O O
check giúp em cơ sở nào ở hn còn nhé,handoff,O O O O O O O B-inform#location O O
có dc xem hàng trước khi nhận c shop,handoff,O O O O O O O O O
gọi hotline ko nghe máy,handoff,O O O O O
chất vải gì ạ,handoff,O O O O
"hôm qua mình đi làm qua thái hà có thấy [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} đen [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} cam trên canh xinh quá ạ!",handoff,O O O O O O O O O O O O O O O O O O B-inform#color O O O O B-inform#color O O O O O
không thấy ảnh của các con nhỉ,handoff,O O O O O O O
chất liệu vải ji vậy shop,handoff,O O O O O O
bên e đang có chương trình mua 1 tặng 1 ah,handoff,O O O O O O O O O O O
hiện tại coa ctrinh ưu đãi j ko b,handoff,O O O O O O O O O
(tiện c đi làm về qua) ghé cửa hàng xem còn mẫu nào ko,handoff,O O O O O O O O O O O O O O
975090240,handoff,O
ôi tiếc giờ mới đọc,handoff,O O O O O
màu nào mà nam tính ấy,handoff,O O O B-inform#gender O O
hic chị đặt hàng tới 10 ngày rùi h mới ship chẳng lẽ chị ko nhận,handoff,O O O O O O O O O O O O O O O O
xem suốt gan 2 tiếng chốt đơn ma toan bị sót đơn,handoff,O O O O O O O O O O O O
hiện còn mầu gì hả e,handoff,O O O O O O
có bộ quần dài ko bạn ơi,handoff,O O O O O O O
"bạn ơi mình muốn [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} cho bé trai nhà mình",handoff,O O O O O O O O O O B-inform#gender I-inform#gender O O
hiện tại bên bạn có sử dụng thanh toán quẹt thẻ cho khách hàng k ạ,handoff,O O O O O O O O O O O O O O O O
con thỏ kia có bán riêng ko b?,handoff,O O B-inform#mention O O O O O
bé nhà c 26 kg thì mặc size 120 hay 130 được nhỉ,handoff,O O O B-inform#weight I-inform#weight O O O O O O O O
vì mình nhờ lấy hộ chứ không đã từ chối nhận hàng,handoff,O O O O O O O O O O O O
toàn mãu bán đã hết rồi shop h,handoff,O O O O O O O O
mình có xem đc mẫu trung thu đâu bạn. nên mình mới hỏi để xem hết các mẫu trung thu,handoff,O O O O O O O O O O O O O O O O O O O O
mình có đặt hàng bên mình qua shoppe,handoff,O O O O O O O O
shop oi còn khẩu trang trẻ em ko,handoff,O O O O O O O O
bên mình đang có ct mua 1 tặng 1 ạ,handoff,O O O O O O O O O O
"shop có [chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} màu đen cho bé 7y ko ạ",handoff,O O O O O O O B-inform#color I-inform#color O O B-inform#age O O
còn km 1 tặng 1 ko,handoff,O O O O O O
còn màu khác k,handoff,O O O O
ctrinh km 30-50% áp dụng ở cơ sở nào và đến bao giờ?,handoff,O O O O O O O O O O O O O
"bên mình có sp [quần bò]{""entity"": ""inform#object_type"", ""value"": ""quan""} [yếm]{""entity"": ""inform#object_type"", ""value"": ""yem""} cho bé trai ko",handoff,O O O O O O O O O O O O O O B-inform#gender I-inform#gender O
ad ơi cửa hàng kcloset đã mở chưa vậy,handoff,O O O O O O O O O
mẫu này có sale ko shop?,handoff,B-inform#mention I-inform#mention O O O O
sao c thay may mẫu tren web sz be nhat la 3 tuoi,handoff,O O O O O O O O O O O B-inform#age I-inform#age
c k tìm thấy trên shopbee,handoff,O O O O O O
hàng sale có được đổi ko shop,handoff,O O O O O O O
"b ơi, cho mình xin địa chỉ cửa hàng ở thái hà với ạ",handoff,O O O O O O O O O O B-inform#location I-inform#location O O
đây là đc nhà riêng,handoff,B-inform#mention O O O O
"shop cho mình hỏi [áo len]{""entity"": ""inform#object_type"", ""value"": ""ao_len""} này ở chi nhánh đông anh còn ko ai",handoff,O O O O O O O O O B-inform#mention O O O B-inform#location I-inform#location O O O
ship trong giờ hành chính giúp mình nhé,handoff,O O O O O O O O
vâng ah. shop giao hàng cho em cùng với hàng của địa chỉ face book nhoc mon ah. sdt. 0961245123,handoff,O O O O O O O O O O O O O O O O O O O O
"có phải lỗi [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} k ạ",handoff,O O O O O O O O O
"nguyễn thị phương nhung\ncty tnhh cá ngừ việt nam\nlô a, kcn suối dầu, cam lâm, khánh hòa\n0989639991",handoff,O O O O O O O O O O O O O O O B-inform#object_type I-inform#object_type
website đang bị lỗi thì phải,handoff,O O O O O O
cơ sở trần đăng ninh có hàng k ạ,handoff,O O B-inform#location I-inform#location I-inform#location O O O O
cửa hàng ở đội cấn đóng cửa rồi ạ?,handoff,O O O B-inform#location I-inform#location O O O O
bên b có khẩu trang vải,handoff,O O O O O B-inform#material
thuỷ 0948.869.769\n113 trần duy hưng hn,handoff,O O B-inform#location I-inform#location I-inform#location B-inform#location
dáng có rộng ko em,handoff,O O O O O
ý mình là mùa onl có áp dụng ctrinhf này k ý ạ,handoff,O O O O O O O O O O O O O
đo giúp chị vòng bụng với,handoff,O O O O O O
nên rất muốn có cơ hội đồng hành với bên mình,handoff,O O O O O O O O O O O
