message,cluster
Dạ nay bên em hết chương trình rồi chị ạ,0
Chị vào link để xem và sắm đồ cho bé giúp em ạ,9
Áo len cadigan bé gái K140NIF-FK1LC màu hồng size size 3-4 tuổi sale 50% còn 249.500đ. Bé nhà mình mặc vừa size 3 chị nha,6
"Dạ,chị muốn đặt online đúng không ạ. Chị cho em xin sđt , địa chỉ của mình để em gửi thông tin cho các bạn ở cửa hàng ship cho mình chị nha",4
cả 2 sz 8 tuổi và 9 tuổi đều có c ạ,6
Hoàng Lý đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,4
"Dạ bên e có ạ, cho e xin chiều cao cân nặng của bé ạ",6
"K's Closet chào chị ạ. Sản phẩm K247TES-FT1CATRAN - ÁO SƠ MI BÉ TRAI có giá 299,000đ sale 50% còn 149.500đ Sản phẩm K139TES-FT2BDXAN07 - QUẦN SOOC BÉ TRAI có giá   249,000đ sale  50%  còn 124,500đ. Bên em có size cho bé từ 3-9 tuổi. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",2
Dạ bên em còn ạ. Chị muốn lấy size cho bé cao và nặng bao nhiêu em hỗ trợ chị ạ,6
Dạ em chào chị ạ. Mong chị thông cảm ạ. Hệ thống kho bên em tối hôm qua bị lỗi nên chưa cập nhật được số lượng sản phẩm ạ.,9
"Chị ơi, chị cho bé thử áo dài chưa ạ. Chị có muốn đổi sang mẫu cổ tròn nữa không ạ",4
Chị cho em xin SĐT của chị được không ạ?,0
Sản phẩm K216NIF-FT2BEDAM03	QUẦN JEAN ỐNG VẢY có giá 329.000 sale 40%	còn 197.400đ,8
Thanh Tran đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,4
Chị cho em xin địa chỉ kèm SĐT của chị em gửi cửa hàng ship đồ đến chị ạ,2
Bên em còn ở Giải Phóng và Lào Cai thôi ạ,6
Chị truy cập vào link shopee không được hay thế nào ạ,9
"Dạ vâng, bên em có mã quần đồng phục cho bé đó chị",4
"K's Closet chào chị ạ,sản phẩm K258TEF-FT3FXDEN10 Set áo phù thủy kèm chân váy có giá 479.000đ sale 40% còn 287.400đ ạ",0
Dạ thứ 7 là bên em có hàng chị ạ. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,0
"Dạ đúng rồi ạ, sản phẩm giảm 50% còn 109 500đ ạ",5
của c hết 14k phí ship ạ,9
Dạ váy bên em không có quần bên trong chị ạ,4
Có cả màu ghi nữa chị ạ,0
Chân váy K196NIF-FT5BP màu  hồng có giá 309.000đ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,4
Dạ sản phẩm này có size cho bé 8 tuổi ạ,7
"bên e còn sz bé 12 và 18kg set bộ pony, chị có thê lấy cho bé 17kg set bộ quả bí ngô được k ạ",5
"chị ck xong nhắn em luôn ạ, để em đặt grab nhé",2
Dạ áo trên bên em có size lớn nhất 130cm thôi chị ạ,9
Dạ chị cho em xin địa chỉ với ạ,4
"Dạ em đang check lại cửa hàng, có hàng em báo lại chị ạ",6
K's Closet chào chị ạ. Sản phẩm K018TES-FK4AI - VÁY BÉ GÁI có giá 259.000đ . Bên em có size 6 ạ.  Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,8
Dạ cạp quần là khuy chị ạ,4
Dạ vâng ạ. Nó không mềm như áo dài chất nhung chị ạ,5
Pretty Kieu đã trả lời một quảng cáo.,1
Dạ em check size 4 cho bé ạ.Hà nội không còn chị ạ,5
"K's Closet chào chị ạ. Sản phẩm K184TES-FT4B0TRA VÁY BÉ GÁI siez 03-09 tuổi có giá 299,000đ ạ sale 30% còn 209.300đ chị ạ. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",9
Thanh Thư đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,2
"chị ơi đơn của chị k giao được ship vừa hoàn về cửa hàng rồi ạ. bây giờ e đặt lại đơn cho chị đến địa chỉ 583 nguyễn trãi chị sẽ nhận được hàng vào sáng mai ạ, chị vui lòng ck cho e trước ạ, vpbank 135159476 trần thị trang ạ. số tiền là 220k cả tiền ship luôn ạ",2
"Dạ đúng rồi ạ, em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",2
Dạ K181NIF-LT1SA be - ÁO KHOÁC DẠ có giá 599.000đ chị ạ,2
"Dạ,chất thô chị nha.Mặc rất thoải mái và mát ạ",5
Oanh Duong đã trả lời một quảng cáo.,9
Trần Thị Thu Giang đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,6
Màu xanh ở Hà Nội còn size 9 ở Hàng Da và Tô Hiệu - Hà Đông ạ,5
"Dạ,mẫu chị quan tâm bên em chỉ có size cho bé 9t thôi ạ.Còn nhiều sản phẩm có size của bé chị tham khảo và mua sắm ạ",9
"Sản phẩm chị quan tâm bên em có size lớn nhất cho bé 2t thôi ạ,chị tham khảo các mẫu khác bên em ạ",0
Dạ vì bây giờ grab trong ngày không nhận đơn nữa chị ạ. Phí ship sẽ cao hơn bình thường chị đồng ý vui lòng cho em xin địa chỉ kèm SĐT em gửi cửa hàng ship cho chị ạ,1
B333NIF-FT2BEXAN bên em có size cho bé từ 1-4 tuổi.,1
Dạ sản phẩm có size cho bé từ 3-9 tuổi chị ạ.,6
"Dạ chào chị ạ. Bé mặc size 3 và size  8 ạ. Mẫu này còn size cho bé 3 tuổi chị nha. Váy Liền Hoạ Tiết Bé Gái- K100TES giá 219.000đ, giảm 50% còn ₫109.500",4
Ghi là chị lấy hình ảnh trong chương trình cũ của bên em ạ,4
Chào Phạm Nguyễn! Chúng tôi có thể giúp gì cho bạn?,2
Tống Hương đã trả lời một quảng cáo.,7
Em gửi chị những mẫu có size của bé ạ,1
Chị gửi ảnh sản phẩm để em hỗ trợ thêm ạ,0
Xin chào Vit!!! 👋 Cảm ơn bạn đã liên hệ với K's Closet trên Messenger. Vui lòng gửi cho chúng tôi mọi câu hỏi của bạn!,5
Chị liên hệ cửa hàng để được hỗ trợ giúp em,9
Váy bên em có size cho bạn 8-12kg. Bé nhà mình cao và nặng bao nhiêu kg ạ.,6
"phí ship của mình là 16.500 nên tổng đơn sẽ là 1,052,500",4
"Dạ,mẫu này bên em lại không có trên shopee ạ",3
"đây là bảng size bên em,",0
Minh Thao Vũ đã trả lời một quảng cáo.,2
"chị ơi, chị muốn xem thêm áo, quần, hay váy ạ",8
Giang Vu đã trả lời một quảng cáo.,6
dạ chị muốn tham khảo đồ thu hay đồ hè ạ,4
Dạ Lào Cai bên em có mẫu chị quan tâm rồi ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,3
Dạ em check hàng vào báo lại chị ạ,4
Dạ được ạ. Chị thanh toán theo giá trị sản phẩm chị muốn đổi sang ạ,5
Nguyễn An Nhiên đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,3
"Dạ chào chị, Váy dài tay phối tutu bé gái K386NIF-LT4DA màu hồng có giá 299.000đ. Chị cho em xin chiều cao và cân nặng cụ thể của bé để em check size phù hợp với bé nha",4
Nhung Mai đã trả lời một quảng cáo.,4
giờ e gọi grap ship luôn cho chị nhé,4
Huong Bui đã trả lời một quảng cáo.,0
dạ mẫu này bên em lại hết sz 9 tuổi mất rồi ạ,5
nguyễn giang đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,4
Bé nhà mình mặc vừa size 2 chị nha,6
Chiị muốn tìm sản phẩm cho bé có chiều cao cân nặng bao nhiêu ạ,3
"Dạ,hiện tại bên em chỉ có cơ sở ở Giải Phóng đang có chương trình sale 30% - 50% đến hết ngày mai chị ạ.Còn các cơ sở khác chưa có chương trình sale ạ",9
chị ơi bộ này bên em lại hết mất rồi ạ,0
Mất khoảng 3-4 ngày mới vào đến nơi,7
bên e hết size cho bé nhà mình rồi ạ,1
"""280 Lạc Trung - Hai Bà Trưng - ĐT: 	",4
Dạ vâng ạ. Mời chị bớt chút thời gian qua cửa hàng tham quan và mua sắm ạ,6
Như Quỳnh đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,6
Nguyễn Huyền Trang đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,9
Dạ bên em không sale chị ạ,0
c cho em xin cân năng của bé để em gửi mình mẫu tham khảo c nha,9
Chị chờ em check giá ship với đơn vị vận chuyển và báo lại cho chị nha,9
Dạ  em nhầm chút ạ. Mẫu áo dài này shop về hàng rồi nha chị ^^. Áo dài nhung màu hồng đính dải hoa  K388NIF-LT1FXHON size 8y  có giá 569.000đ. Chân váy tutu K396NIF-LT5BQ size 8y có giá 239.000đ ạ,2
"Chương trình hoàn tiền cho đơn hàng nguyên giá: giảm 50K cho đơn từ 300, 100K cho đơn từ 400, 150k cho đơn từ 500 và 200K cho đơn từ 600K. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",2
Bên em có mẫu vest này có size của bé nhưng chắc mai mới về hàng chị ạ,4
096.132.7166 .số nhân viên cơ sở Láng chị nhé,5
chị cho em  xin lại ảnh mẫu mình muốn hỏi đc k ạ,4
Nguyễn Thanh Mỹ đã trả lời một quảng cáo.,0
Dạ các mẫu trên chỉ có mình áo không bao gồm quần và chân váy chị nha,1
Dạ bên em còn chị ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,2
c ơi.c cho e xin sđt của c với ạ,1
"Ở mục màu sắc chia 3 loại: Áo cộc tay, quần dài, quần cộc đó ạ",4
Dạ mẫu này bên em có size lớn nhất là 57kg thôi chị ah,9
đơn của chị hết 329k +20k tiền ship =349k ạ,4
"K's Closet chào chị ạ,sản phẩm K213EIF K213EIF-FK3J BỘ HOODIE MŨ Bộ	399000đ sale  còn 199500đ.Mời chị ghé cửa hàng xem và mua sắm cho bé ạ",5
- TTTM Savico - Long Biên: 219 Tầng 2 - ĐT: 0374.614.998: Em gửi chị ạ,8
Dạ bên em không bán sỉ ạ. Bên em chỉ tuyển nhượng quyền thương hiệu,9
"Dạ bé mặc được size 4 bên em,mẫu trên bên em có size từ 1 đến 4t",5
Diep Nguyen đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,2
Vậy em cứ check lấy size 6 chị nhé. Để năm sau bé cũng có thể mặc vừa.,0
em cảm ơn chị nhiều ạ,6
Dạ mẫu trên bên em chỉ có trên shopee không có tại cửa hàng chị ạ,0
"Em chào chị ạ, chị đang muốn hỏi về sản phẩm nào bên em ạ",0
Em gửi chị link gian hàng bên em tại kênh shopee ạ,0
đsung rồi nha chị stk đấy ạ 135159476,0
Dạ các sản phẩm được hưởng khuyến mại 50% đều được update trên shopee rồi ạ,4
"135k nha chị, ship về đâu ạ",1
Dạ bên em có size cho bạn 10 tuổi tại quảng ngãi chị ạ. Còn bạn 6 tuổi bên em hết size của bé rồi ạ,2
phí ship đến địa chỉ của chị là 33.000đ. khi nào nhận hàng chị thanh toán nhé,5
Tiyen Trinh đã trả lời một quảng cáo.,4
Dạ bên em không có size của bé ạ. Mong chị thông cảm giúp em ạ,4
"Dạ các bạn đang có khách nên chưa hỗ trợ được chị, chị chờ các bạn 1 chút ạ",1
Chị tham khảo mẫu khác giúp em ạ,6
Anh Pham đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,4
"K's Closet chaò chị ạ,sản phẩm 110TEF-FT4FADEN09  VÁY DÀI TAY BÉ GÁI có giá 269,000đ.Bên em có size cho bé từ 3 đến 9t.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",5
"K's Closet chào chị ạ. Sản phẩm  K200TES-BK3BAHON - BỘ CỘC TAY BÉ GÁI  có giá 249,000đ sale 50% còn 124.500đ. Bên em có size cho bé 3-9 tuổi. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
"Dạ bên em có mẫu len ảnh đầu tiên có size 6 vừa với bé còn hàng tại Hà Tĩnh, Nghệ An và Thái Nguyên ạ",1
Dạ bé gái bên em có size lớn nhất cho bạn 20kg. Bé trai bên em có size lớn nhất cho bạn 30kg ạ.,9
vang ạ,4
280 Lạc Trung - Hai Bà Trưng - ĐT: 0982.365.280 Dạ chị liên hệ cửa hàng để được hỗ trợ giúp em ạ. Vì hiện tại ngày sale em check tồn không chính xác ạ,2
Hoaianh Bui đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,4
Dạ chào chị. Áo cadigan bé gái B070NIF-FK1EATRA sale 50% còn 124.500đ. Chị cho em xin chiều cao và cân nặng cụ thể của bé để em check size phù hợp với bé nha,4
"Dạ áo sơ mi đồng phục bên em còn size 9t cho bé ở Huế,chị muốn đặt hàng online không ạ",8
quần 299k ạ,0
Bé nhà mình cao bao nhiêu cm ạ?,4
"K's Closet chào chị ạ. Sản phẩm K304TES-FT4BHDBI03 VÁY BÉ GÁI có giá 339,000  Bên em có size cho bé 3-9 tuổi (13-30kg). Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
Hải Dương bên em mở cửa lại rồi ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,4
"Dạ chị ơi, trên shopee có bộ phận cskh riêng chị ib trực tiếp cho các bạn để được hỗ trợ chị nha",4
Dạ bên em còn ạ,2
Thu Thủy đã trả lời một quảng cáo.,2
Dạ bên em còn ở Đội Cấn thôi chị ạ,3
Dạ bên em hết size của bé 22kg còn size 42kg tại Nam Định ạ. Chị có đồng ý ship hàng không chị,8
Bên em còn size 10 tại số 9 Hàng Da và TTTM Lotte ạ,0
dạ vâng ạ vây bên em đóng đơn gửi mình luon ạ,4
Dạ size của bé ở Hải Dương hết hàng mất rồi ạ,4
Dạ bé mặc size 8 bên em chị ạ.,2
chính là áo ảnh dưới cùng với chân váy trắng ạ,2
chị ghé shop sắm đồ cho bé nhé ạ,0
Dạ chị vui lòng liên hệ trực tiếp với bộ phận chăm sóc khách hàng trên Shopee của K's để được hỗ trợ thêm ạ,4
chị cho e xin rõ địa chỉ e check ship cho mình ạ,5
em chốt đơn cho chị là 1 áo dài size 12m giá 559.000đ,7
Trên shopee bên em không bán hộp chị ạ,4
Dạ Lạc Long Quân bên em hết chương trình sale rồi ạ.Chị vui lòng theo dõi page để nắm được chương trình sale tiếp theo của cửa hàng ạ,0
Chương trình mua 1 áo dài tặng 1 sản phẩm khác không phải áo dài chị ạ,8
K's Closet chào chị ạ. B104NIS-LT4BIDAO - VÁY DẠ HỘI KIM SA BG có giá 349.000đ sale 50% còn 174.500đ ạ.,0
để e kiểm tra lại giúp c ạ\,5
"size L bên shop còn 3 hộp nữa thôi, chị lấy thì đặt hàng sớm giúp em nhé",5
Dạ chào chị. Áo len cổ lọ bé gái K276NIF-FK1LD màu trắng có giá 359.000đ sale 50% còn 179.500đ. Váy yếm bò bé gái K320NIF-FT7A đậm có giá 329.000đ sale 50% còn 164.500đ ạ. Bên em có size cho bé từ 3-9 tuổi. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,9
chị mua hóa đơn trên 600k được freeship c ạ,3
� Quà tặng từ K's Closet: MUA 1 TẶNG 1,2
Dạ phí giao động 30-35K chị ạ,1
Phuong Cao đã trả lời một quảng cáo.,0
Nham Nhj đã trả lời một quảng cáo.,1
Chị tham khảo các mẫu áo dài này có size 1 chị nhé,4
Dạ bé mặc bị rộng quá chị ạ,4
"Hi Tu Pham Ngoc, thanks for your message. We are not here right now, but we'll get back to you soon!",4
ao có giá là 599k ạ,9
"Dạ vâng ạ, vì hiện tại bên em chỉ bán online trên shopee chị ạ",3
Chào Phuong! Chúng tôi có thể giúp gì cho bạn?,2
Dạ bộ trên có kèm bờm ạ,9
Dạ đúng rồi dưới bán điện máy đó ạ,1
Dạ bên em ngừng nhận đơn online rồi ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,1
Dạ chị lên shopee đặt giúp em ạ. Vì các cửa hàng bên em hết hàng mất rồi ạ,6
Dạ sản phẩm chị quan tâm bên em hết size của bé ạ.,4
"Dạ,sản phẩm vẫn còn hàng thì sẽ đặt được ạ. Nếu chị có vấn đề gì thắc mắc chị có thể liên hệ trực tiếp lên Shopee, ở đó có bộ phận CSKH riêng và sẽ phản hồi cho chị ạ",2
Sản phẩm K019NIF-BK3OADOO03 K019NIF-	BỘ DÀI TAY BÉ TRAI có giá 259000đ sale 50% còn 129.500đ.Bên em có size cho bé từ 3 đến 9t.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,3
Em kiểm tra số thấy chị chưa đăng ký nhận khẩu trang miễn phí trên hệ thống bên em chị ạ,2
Quà tặng từ K's Closet: MUA 1 TẶNG 1,2
Là mẫu này chị nhé. Sản phẩm có size cho bé từ 1-4 tuổi. Chị muốn check size cho bé cao và nặng bao nhiêu ạ,9
bên e hết rồi c ạ,0
Dạ quần có chun tăng giảm bên trong cạp chị ạ,1
"Dạ chào chị ạ. SP Váy Bé Gái - K018TES còn màu tàn cho size 5 tuổi, giá 259.000đ, giảm 30% còn 181.300đ chị nha",6
"K's Closet chào chị ạ,sản phẩm T248TES-FT4BFTRA14 	VÁY BÉ GÁI có giá 359,000đ.Bên em có size cho bé từ 10 đến 14t.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
"Dạ cửa hàng chuyển cho chị rồi ạ. Chị để ý điện thoại, khi nào hàng đến ship sẽ gọi trước khi giao ạ",0
"giá lần lượt của các quần là 197,100 , 197,400 , 94,500 ạ",0
Cả 2 sản phẩm đều là chất cotton chị ạ,4
bộ đầu tiên bên e còn sz 4 tuổi cả áo cả váy ạ,9
Dạ chị quan tâm bé trai hay bé gái ạ,2
"Đây là địa chỉ K's tại - Đà Nẵng: Số 203, Ông Ích Khiêm, Hải Châu, Đà Nẵng. 0905.011.192",9
Áo dài màu đỏ shop có 3 mẫu này ạ,2
"Dạ chị chờ em chút em, em báo cửa hàng gửi mẫu đến chị ạ",7
Set gile nhung tăm bé trai K215NIF-LT3OA xanh tím than có giá 449.000đ.,4
"Dạ bên em không có giày chị ạ. Bên em có quần áo thôi ạ, em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",6
Phan Bích Ngọc đã trả lời một quảng cáo.,2
Dạ bộ sale còn 99.500đ ạ,0
Dạ những sản phẩm này chỉ có trên shopee chị vui lòng truy cập shopee để được hỗ trợ giúp em ạ,3
Dạ chị cho em xin địa chỉ cụ thể nhận hàng giúp em ạ,1
Dạ sản phẩm K258TEF-FT3FXDEN10 Set áo phù thủy kèm chân váy có giá 479.000đ sale 40% còn 287.400đ,5
"K's Closet chào chị ạ. Sản phẩm T122TES-BK3BAXAN - BỘ CỘC TAY BÉ GÁI có giá 229,000đ đồng giá còn 189.000đ. Bên em có size cho bé 10-14 tuổi. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",2
"Đông Anh, Giải Phóng, Nguyễn Trãi, Quảng Trị còn size của bé (size 5). Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",6
dạ c muốn tìm quần chip cho bé bn tuổi vậy ạ,2
màu hồng thì bên láng còn chị ạ,3
"Dạ bên em có ạ, Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",5
K's Closet chào chị ạ. Sản phẩm B066TES-FT1CATRA - ÁO CỘC TAY BÉ GÁI có giá  239.000đ. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,0
"Dạ size 12 lớn nhất bên em còn tại TTTM Aeon, Đông Anh, Láng và Nguyễn Văn Cừ còn hàng ạ",9
Dạ bên em sale đến hết ngày hôm nay thôi ạ,2
Áo dài thêu hoa cúc vàng K390NIF-LT1FXVAN size 12 có giá 839.000đ. Chị muốn check sản phẩm tại cơ sở nào để shop hỗ trợ ạ,5
- 169 Thái Hà- ĐT: 0376.74.88.28 Em gửi chị ạ,2
Chị cho em xin thêm SĐT của chị ạ,9
Mẫu áo dài in hình bé trai K371NIF-LT1FXXAN màu xanh size 1-2y có giá 359.000đ; size 3-4y có giá 379.000đ; size 5-7y có giá 399.000đ ạ.,4
em gửi chị hóa đơn ạ,4
Dạ bé mặc size 14 bên em ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,4
"em gửi chị mẫu có tại cửa hàng e ạ , hiện tại còn đủ size cho 2 bạn ạ",4
muộn nhất chắc ngày kia c nhậ được ạ,0
Chị chờ em check phí ship và báo lại chị ạ,7
� BÙNG NỔ ƯU ĐÃI - CÓ 1 KHÔNG 2�,6
Chị muốn dặt mua online đúng không ạ,7
Chào Kim Oanh! Chúng tôi có thể giúp gì cho bạn?,2
"Chị cho ẽmin chiều cao của bé nữa nhé ạ. Sản phẩm này có giá 209,000 nha chị",0
"K's Closet chào chị ạ,sản phẩm B105TEF-FT3QAKEE01	SET ÁO KÈM QUẦN BT có giá 359.000đ sale 10% còn 323.100đ.Mời chị ghé cửa hàng xe và sắm đồ cho bé ạ",0
"Hi Gđ Ngũ Cốc, thanks for your message. We are not here right now, but we'll get back to you soon!",4
"K's Closet chào chị ạ. Sản phẩm K078TES-FT5BKDAM- CHÂN VÁY DENIM size 03-09 tuổi có giá 269,000đ sale 20% còn 215.200đ. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
Bé nhà mình nặng 23kg mặc size 07 nha chị,2
"Dạ,sản phẩm B044TES-BK1ACHON05	ÁO PHÔNG SÁT NÁCH có giá ưu đãi 119.000đ.Sản phẩm K184NIS-FT2BDDAM09 QUẦN SOOC BÒ BG có giá ưu đãi 259.000đ.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
Bé nhà mình mặc size 9 chị nhé,9
Chào Chiên! Chúng tôi có thể giúp gì cho bạn?,9
Dạ bên em còn ạ. Chị vui lòng truy cập link để xem và sắm đồ cho bé ạ,6
"Dạ K's Closet chào chị ạ. Sản phẩm B086TES-FT3FVVAN - JUMSUIT BÉ GÁI có giá	319,000đ sale 20% còn 255.200đ. Sản phẩm này bên em chưa ra hàng ạ, khoảng 2-3 ngày nữa ra hàng. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
Chị đồng ý 2 cửa hàng ship và mất 2 lần ship không ạ,1
Size bên em theo cân nặng và chiều cao của bé ạ,3
Size 6 bên em cho bạn 20kg thôi ạ. Bạn 25kg mặc bị chật chị ạ,2
"Bé để lại thông tin khi nào K's Closet có nhu cầu book mẫu, K's Closet sẽ liên hệ nha",4
nguyễn thị kim tuyến,0
Dạ váy có chun ở phía sau ạ,2
"K's Closet chào chị ạ. Sản phẩm B136NIS-FT5BQSAO - VÁY PHỦ TUTU BG có giá 529,000đ sale 50% còn 264,500đ (8-12kg). Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",3
Chị cho em xin hình ảnh với ạ,9
Chào Tuyet! Chúng tôi có thể giúp gì cho bạn?,6
dạ chưa chị,4
"Dạ shop còn size 7 tại các cơ sở TTTM Aeon Malll Long Biên, Đội Cấn, Hàng Da, Nguyễn Văn Cừ, Trần Đăng Ninh, Yên Phụ, TTTM Savico, TTTM Royal và TTTTM The Garden ạ",4
Mai Lam Pham Ngoc đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,1
Dạ sản phẩm B149NIS bà áo B045tes có size của bé tại Yên Bái ạ. Quần và set B001NIS và B0063nis bên em hết size của bé rồi ạ,5
"Mẫu áo B113NIF đỏ có size nhỏ nhất là size 1 chị nhé. Chị đang tìm áo cho bé có chiều cao, cân nặng như thế nào để em check size giúp chị ạ.",2
"Dạ size bé nhất của shop dành cho bé từ 12 tháng, bé nặng khoảng 9kg trở lên chị nhé",0
ship xuân đỉnh 25k nha chị,5
"có 2 ngân hàng, chị chuyển cái nào cũng đc ạ",9
Dạ size nhỏ nhất bên em có cho bé từ 6 tháng trở lên ạ,4
Chị lấy bộ bé trai màu xanh đậm đúng không ạ,6
Minh Cham Le đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,1
dạ cái này bên cửa hàng nên bên e đặt grap c ạ,4
Con cao bao nhiêu ạ?,4
áo nhà e to nhất sz09 nha chị,2
"chị ơi, có gì chị báo lại em nhé",9
Sản phẩm B004 có giá 99k ạ,4
Sản phẩm VÁY BÉ GÁI-K080TES giá 349.000đ vẫn còn hàng chị nha.,9
"- 287 Trần Đăng Ninh, Cầu Giấy - ĐT: 0961 287 366 - 0982274781. Chị liên hệ trực tiếp để được hỗ trợ giúp em ạ",4
Còn màu này nữa ah,4
Em gửi chị link sale bên em ạ,6
"""K's Closet chào chị ạ. Sản phẩm B100TEF-FT7A0CAM01 VÁY YẾM BÉ GÁI có giá  259,000đ",4
Dạ K174NIF-LT4EA hồng - VÁY DẠ TIỆC BÉ GÁI có giá 659.000đ chị ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,0
Chị cho em xin thêm địa nhỉ nhận hàng em gửi cửa hàng ship đồ cho chị ạ,2
Chào Khoa! Chúng tôi có thể giúp gì cho bạn?,9
Dạ chào chị ạ.,2
Hình 3: Dạ chào chị. Áo len bé gái B184NIF-FK1LB màu hồng đào có giá sale 50% còn 199.300đ. Áo có size cho bé từ 1-4 tuổi. Chân váy K196NIF-FT5BP màu ghi có giá 309.000đ. Chân váy có size từ 3-9 tuổi. Chị cho em xin chiều cao và cân nặng cụ thể của bé để em check size phù hợp với bé nhé,4
Hồng Hoa đã trả lời một quảng cáo.,9
Dạ bên em có màu cam nữa ạ,9
Nay bên em lại hết chương trình sale mất rồi ạ. Chị vui lòng theo dõi page để nắm được chương trình sale tiếp theo chị nha,6
"Dạ,áo sơ mi trắng size 6t bên em lại hết hàng mất rồi ạ",2
"K's Closet chào chị ạ. Sản phẩm B044TES-BK1ACHON - ÁO PHÔNG SÁT NÁCH có giá	119.000đ sale	50%	 còn 59.500đ.  K184NIS-FT2BDDAM - QUẦN SOOC BÒ BG có giá 259,000đ sale 30% còn 181.300đ . Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",0
� Quà tặng từ K's Closet: MUA 1 TẶNG 1,4
"Dạ K's Closet chào chị ạ. Sản phẩm K030TES-FT1CAHEO - 	ÁO BLOUSE BÉ GÁI có giá 249,000 sale 10%. Sản phẩm K016TES-FT2BDDAM - QUẦN SOOC JEAN có giá 239,000 đ sale 10% ạ. Sản phẩm dự kiến 2-3 hôm nữa bên em ra hàng, mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
"Hi Linh Nguyễn, thanks for your message. We are not here right now, but we'll get back to you soon!",8
Dạ áo nỉ ạ,5
Mình có lấy bộ hoodie ở trên thì em gửi cho chị nhé,4
Dạ Chương trình sale lần này của shop chỉ áp dụng sale với các dòng sản phẩm  áo (trừ áo dài và một số dòng áo khoác). Các sản phẩm khác không được áp dụng sale ạ,7
Dạ chị chờ em chụp mẫu cho chị tham khảo nha,9
"K's Closet chào chị ạ. Sản phẩm K080TEF-FT1PAHON ÁO GIÓ BÉ GÁI có giá 419,000đ sale 30% còn	293,300đ. Bên em có size cho bé từ 5-9 tuổi, mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
Trang Thu đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,5
bên em hết sz cho bé rồi c ạ,0
dạ vâng ạ vậy em chốt đơn cho mình luôn a,4
